Date	Prcp_mm	Airt_C	Swe_obs_mm
1989-10-01	12.70	6.4	0.0
1989-10-02	2.54	0.1	0.0
1989-10-03	0.00	-2.8	0.0
1989-10-04	0.00	-0.6	0.0
1989-10-05	0.00	0.6	0.0
1989-10-06	0.00	1.6	0.0
1989-10-07	0.00	2	0.0
1989-10-08	0.00	3.3	0.0
1989-10-09	0.00	7.6	0.0
1989-10-10	0.00	5.2	0.0
1989-10-11	12.70	8.8	0.0
1989-10-12	12.70	2.5	5.1
1989-10-13	0.00	1.8	0.0
1989-10-14	2.54	3.1	0.0
1989-10-15	5.08	2.1	0.0
1989-10-16	0.00	-2.2	0.0
1989-10-17	0.00	-2.5	0.0
1989-10-18	0.00	-1	0.0
1989-10-19	0.00	3.3	0.0
1989-10-20	0.00	4.6	0.0
1989-10-21	0.00	6.8	0.0
1989-10-22	5.08	4.7	0.0
1989-10-23	7.62	2.9	0.0
1989-10-24	5.08	4.4	0.0
1989-10-25	0.00	-0.3	0.0
1989-10-26	0.00	-2.1	0.0
1989-10-27	5.08	-1.6	2.5
1989-10-28	2.54	-2.1	7.6
1989-10-29	5.08	-3.9	7.6
1989-10-30	5.08	-5.5	7.6
1989-10-31	10.16	-4	17.8
1989-11-01	0.00	-7	17.8
1989-11-02	0.00	-7.6	20.3
1989-11-03	45.72	-3.6	25.4
1989-11-04	45.72	-0.8	71.1
1989-11-05	12.70	-0.7	104.1
1989-11-06	22.86	-2.8	114.3
1989-11-07	10.16	-2.7	137.2
1989-11-08	7.62	-4.4	142.2
1989-11-09	10.16	-4.4	149.9
1989-11-10	38.10	3.6	144.8
1989-11-11	17.78	4.5	142.2
1989-11-12	22.86	3.6	132.1
1989-11-13	22.86	-0.2	139.7
1989-11-14	20.32	-4.2	162.6
1989-11-15	5.08	-6.1	185.4
1989-11-16	2.54	-8.6	185.4
1989-11-17	0.00	-3.7	185.4
1989-11-18	0.00	-2.6	185.4
1989-11-19	10.16	-0.1	185.4
1989-11-20	5.08	3.5	185.4
1989-11-21	5.08	4	185.4
1989-11-22	2.54	0	185.4
1989-11-23	2.54	-5.8	190.5
1989-11-24	5.08	-1.3	193.0
1989-11-25	0.00	-4.3	195.6
1989-11-26	12.70	-5.3	195.6
1989-11-27	10.16	-5.1	205.7
1989-11-28	2.54	-7.2	223.5
1989-11-29	0.00	-7.5	223.5
1989-11-30	2.54	-8.5	223.5
1989-12-01	0.00	-9	223.5
1989-12-02	0.00	-8.8	223.5
1989-12-03	0.00	-3.3	223.5
1989-12-04	124.46	0.8	223.5
1989-12-05	7.62	2.1	243.8
1989-12-06	22.86	-0.4	248.9
1989-12-07	0.00	-3	269.2
1989-12-08	20.32	-4.6	269.2
1989-12-09	20.32	-1.3	289.6
1989-12-10	20.32	-5.5	307.3
1989-12-11	0.00	-12.9	317.5
1989-12-12	0.00	-14.5	322.6
1989-12-13	2.54	-8.5	325.1
1989-12-14	5.08	-7.1	330.2
1989-12-15	2.54	-4.6	332.7
1989-12-16	2.54	-6.2	335.3
1989-12-17	2.54	-9.1	335.3
1989-12-18	0.00	-11.9	335.3
1989-12-19	0.00	-14.4	342.9
1989-12-20	2.54	-8.1	381.0
1989-12-21	86.36	-5.6	406.4
1989-12-22	0.00	-14.6	411.5
1989-12-23	5.08	-4.1	416.6
1989-12-24	2.54	-1.6	426.7
1989-12-25	0.00	-3.6	426.7
1989-12-26	2.54	-4.6	431.8
1989-12-27	0.00	-2.8	431.8
1989-12-28	0.00	-4.4	431.8
1989-12-29	10.16	-6.3	434.3
1989-12-30	5.08	-7.2	442.0
1989-12-31	2.54	-5.3	447.0
1990-01-01	5.08	-3	452.1
1990-01-02	12.70	-4.2	459.7
1990-01-03	10.16	-8.8	472.4
1990-01-04	25.40	-9.9	485.1
1990-01-05	0.00	-5.6	508.0
1990-01-06	5.08	-3.4	513.1
1990-01-07	17.78	-1.1	520.7
1990-01-08	17.78	-1.1	541.0
1990-01-09	10.16	-2.5	561.3
1990-01-10	5.08	0	574.0
1990-01-11	0.00	-5.1	576.6
1990-01-12	0.00	-10.4	579.1
1990-01-13	0.00	-2.8	581.7
1990-01-14	2.54	-0.7	584.2
1990-01-15	2.54	-1.1	586.7
1990-01-16	0.00	-4.1	589.3
1990-01-17	2.54	-6.4	589.3
1990-01-18	0.00	-9.6	589.3
1990-01-19	0.00	-12.9	589.3
1990-01-20	0.00	-11.8	589.3
1990-01-21	0.00	-9.5	589.3
1990-01-22	12.70	-2.8	594.4
1990-01-23	7.62	-3.6	614.7
1990-01-24	2.54	-7.3	637.5
1990-01-25	0.00	-8.3	652.8
1990-01-26	2.54	-4.4	668.0
1990-01-27	0.00	-9.4	668.0
1990-01-28	0.00	-9.4	683.3
1990-01-29	0.00	-6	701.0
1990-01-30	0.00	-7.8	729.0
1990-01-31	0.00	-7.4	729.0
1990-02-01	0.00	-8.6	731.5
1990-02-02	137.16	-7.4	736.6
1990-02-03	2.54	-5.9	751.8
1990-02-04	2.54	-3.9	756.9
1990-02-05	0.00	-6	759.5
1990-02-06	5.08	-7.9	764.5
1990-02-07	2.54	-8.9	772.2
1990-02-08	10.16	-11	777.2
1990-02-09	35.56	-8.8	784.9
1990-02-10	60.96	-3.6	823.0
1990-02-11	5.08	-0.6	889.0
1990-02-12	2.54	-1	896.6
1990-02-13	5.08	-12.2	904.2
1990-02-14	0.00	-21.5	909.3
1990-02-15	0.00	-22.5	914.4
1990-02-16	0.00	-16.1	914.4
1990-02-17	0.00	-10.3	916.9
1990-02-18	0.00	-12.9	916.9
1990-02-19	0.00	-15.8	919.5
1990-02-20	0.00	-10.7	922.0
1990-02-21	33.02	-4.6	947.4
1990-02-22	7.62	-2.4	950.0
1990-02-23	0.00	-1.1	950.0
1990-02-24	10.16	-3.3	952.5
1990-02-25	0.00	-1.1	965.2
1990-02-26	2.54	-0.2	965.2
1990-02-27	0.00	-5.9	965.2
1990-02-28	0.00	-7.9	967.7
1990-03-01	0.00	-6.4	972.8
1990-03-02	0.00	-6.2	972.8
1990-03-03	0.00	-5.4	972.8
1990-03-04	0.00	-1	972.8
1990-03-05	0.00	-3.3	975.4
1990-03-06	0.00	-6.2	975.4
1990-03-07	0.00	-4.4	975.4
1990-03-08	0.00	-0.8	977.9
1990-03-09	0.00	-4.6	977.9
1990-03-10	0.00	-3.9	983.0
1990-03-11	5.08	-1.5	988.1
1990-03-12	2.54	-5.8	995.7
1990-03-13	0.00	-6.8	1013.5
1990-03-14	0.00	-6.4	1021.1
1990-03-15	45.72	-6.6	1031.2
1990-03-16	0.00	-5.9	1033.8
1990-03-17	0.00	-4.1	1036.3
1990-03-18	0.00	-1.1	1038.9
1990-03-19	2.54	-0.6	1043.9
1990-03-20	2.54	2.4	1056.6
1990-03-21	2.54	0	1069.3
1990-03-22	2.54	-0.2	1077.0
1990-03-23	2.54	-10.6	1089.7
1990-03-24	0.00	-14.4	1097.3
1990-03-25	2.54	-13.9	1097.3
1990-03-26	7.62	-7.2	1097.3
1990-03-27	2.54	-3.9	1097.3
1990-03-28	12.70	-2	1097.3
1990-03-29	0.00	-3.2	1104.9
1990-03-30	0.00	-1.7	1104.9
1990-03-31	0.00	1	1104.9
1990-04-01	0.00	2.8	1107.4
1990-04-02	0.00	4.9	1120.1
1990-04-03	0.00	4.9	1120.1
1990-04-04	0.00	3.4	1115.1
1990-04-05	0.00	1.3	1112.5
1990-04-06	0.00	-0.9	1110.0
1990-04-07	0.00	1.5	1112.5
1990-04-08	0.00	3.2	1112.5
1990-04-09	0.00	3.6	1104.9
1990-04-10	0.00	-1.5	1110.0
1990-04-11	0.00	-4.1	1120.1
1990-04-12	5.08	0.5	1122.7
1990-04-13	22.86	0.4	1132.8
1990-04-14	5.08	1.6	1132.8
1990-04-15	0.00	2	1132.8
1990-04-16	0.00	3.2	1115.1
1990-04-17	0.00	1.8	1112.5
1990-04-18	0.00	4.4	1097.3
1990-04-19	0.00	3.9	1084.6
1990-04-20	0.00	4.4	1064.3
1990-04-21	0.00	6.4	1038.9
1990-04-22	7.62	5.2	1018.5
1990-04-23	7.62	4.1	995.7
1990-04-24	2.54	2.6	985.5
1990-04-25	22.86	0.6	980.4
1990-04-26	15.24	-0.2	993.1
1990-04-27	20.32	-2.5	1000.8
1990-04-28	22.86	-2	1023.6
1990-04-29	0.00	-4.6	1033.8
1990-04-30	7.62	-5.7	1028.7
1990-05-01	0.00	-2.8	1026.2
1990-05-02	0.00	0.7	1021.1
1990-05-03	0.00	1	1021.1
1990-05-04	0.00	4.2	1018.5
1990-05-05	0.00	6	1008.4
1990-05-06	0.00	8.6	983.0
1990-05-07	0.00	3.6	977.9
1990-05-08	0.00	-2.1	972.8
1990-05-09	0.00	-3	965.2
1990-05-10	0.00	0.1	960.1
1990-05-11	0.00	2.1	942.3
1990-05-12	0.00	2.8	929.6
1990-05-13	5.08	1.7	909.3
1990-05-14	7.62	1.5	891.5
1990-05-15	12.70	-0.3	889.0
1990-05-16	2.54	-0.3	906.8
1990-05-17	0.00	1.1	906.8
1990-05-18	5.08	3.6	904.2
1990-05-19	0.00	1.5	886.5
1990-05-20	5.08	2.3	876.3
1990-05-21	0.00	1.8	866.1
1990-05-22	5.08	1.6	848.4
1990-05-23	0.00	6.4	838.2
1990-05-24	22.86	6.6	805.2
1990-05-25	15.24	1	815.3
